학교명,주소,위도,경도
함열여자중학교,전라북도 익산시 함열읍 정자길 31,36.08349605,126.9696539
전주서중학교,전라북도 전주시 완산구 당산로 2,35.83182841,127.1097297
함라중학교,전라북도 익산시 함라면 함낭로 61-18,36.06465912,126.9168739
김제여자중학교,전라북도 김제시 중앙로 137,35.80448514,126.8917355
이평중학교,전라북도 정읍시 이평면 후송길 21,35.66166447,126.8116013
변산중학교,전라북도 부안군 진서면 청자로 921,35.58946353,126.6054306
전주예술중학교,전라북도 완주군 구이면 신전길 120,35.72023332,127.1087873
김제중앙중학교,전라북도 김제시 남북9길 52,35.79360638,126.8885177
이리남성여자중학교,전라북도 익산시 동서로35길 41,35.95635944,126.9659967
지사중학교,전라북도 임실군 지사면 충효로 2469,35.56728894,127.358871
칠보중학교,전라북도 정읍시 칠보면 검단1길 53,35.61302799,126.9933595
이일여자중학교,전라북도 익산시 평동로7길 30,35.93458743,126.9489825
오수중학교,전라북도 임실군 오수면 충효로 2099-15,35.54686393,127.3278067
전주기전중학교,전라북도 전주시 완산구 유연로 133,35.82623909,127.100655
군산서흥중학교,전라북도 군산시 축동로 129,35.97158019,126.7090955
이리남중학교,전라북도 익산시 배산로3길 55,35.94605802,126.936942
상관중학교,전라북도 완주군 상관면 신리로 111,35.77103752,127.2067382
남원용성중학교,전라북도 남원시 춘향로 73,35.41996321,127.3924337
용지중학교,전라북도 김제시 용지면 황토로 702,35.85077247,126.9605037
전주중앙중학교,전라북도 전주시 덕진구 공북2길 20,35.82800762,127.1380542
구림중학교,전라북도 순창군 구림면 방화로 6,35.45297226,127.100401
변산서중학교,전라북도 부안군 변산면 지서로 139,35.66265731,126.5207894
부귀중학교,전라북도 진안군 부귀면 상거석길 14-7,35.84026603,127.3661615
전주서신중학교,전라북도 전주시 완산구 안터2길 40,35.82877973,127.1167419
영선중학교,전라북도 고창군 무장면 왕제산로 713,35.41426005,126.5580061
전일중학교,전라북도 전주시 덕진구 모래내6길 36,35.83829946,127.1449636
배영중학교,전라북도 정읍시 동학로 243,35.60126026,126.8116536
화산중학교,전라북도 완주군 화산면 화산로 874,36.03526614,127.1981792
봉남중학교,전라북도 김제시 봉남면 남주1길 26,35.75316663,126.961921
전주동중학교,전라북도 전주시 덕진구 심방죽로 23,35.83858477,127.1508852
대성중학교,전라북도 고창군 대산면 고산성로 29-11,35.33962782,126.6036331
완산중학교,전라북도 전주시 완산구 덕적골1길 60,35.79206908,127.1383401
동계중학교,전라북도 순창군 동계면 강동로 74,35.45004832,127.240649
완주중학교,전라북도 완주군 봉동읍 봉동동서로 60-6,35.93485855,127.1603317
군산대성중학교,전라북도 군산시 임피면 임피향교길 44-6,35.98863023,126.8486974
정산중학교,전라북도 정읍시 산내면 능교신기길 12-20,35.56915324,127.0195919
고산중학교,전라북도 완주군 고산면 읍내3길 41,35.97867192,127.2090497
고창북중학교,전라북도 고창군 부안면 복분자로 788-141,35.50833774,126.6595544
금구중학교,전라북도 김제시 금구면 금구로 40,35.7744982,127.0125018
동국대학교사범대학부속금산중학교,전라북도 김제시 금산면 모악로 47,35.7177326,126.9994481
천천중학교,전라북도 장수군 천천면 춘송길 47,35.73621655,127.5386322
익산지원중학교,전라북도 익산시 고봉로 67,35.94000281,126.9607082
부안중학교,전라북도 부안군 부안읍 당산로 1,35.72803921,126.7247491
