고유번호,구명,정원수,위도,경도
220,전주시 완산구,19,35.79995967,127.1275199
221,전주시 완산구,19,35.81826696,127.12524
222,전주시 완산구,13,35.83177947,127.0966134
223,전주시 완산구,20,37.36065514,126.9460249
224,전주시 완산구,13,35.79695088,127.1150192
225,전주시 완산구,12,35.83143239,127.0992794
226,전주시 완산구,13,35.79394568,127.1133443
227,전주시 완산구,19,37.70248423,127.0477945
228,전주시 완산구,19,35.78782363,127.1341297
229,전주시 완산구,19,37.47600843,126.8573668
230,전주시 완산구,16,35.83177947,127.0966134
231,전주시 완산구,19,35.80830077,127.1126286
232,전주시 완산구,19,35.78510176,127.1331957
233,전주시 완산구,20,35.72892331,126.7293287
234,전주시 완산구,13,35.80211162,127.1149155
235,전주시 완산구,19,35.78510176,127.1331957
236,전주시 완산구,19,35.83025964,127.0984415
237,전주시 완산구,13,35.8308328,127.1110926
238,전주시 완산구,19,35.78510176,127.1331957
239,전주시 완산구,12,35.83143239,127.0992794
240,전주시 완산구,20,35.82619013,127.1179281
241,전주시 완산구,19,35.82641738,127.1090006
242,전주시 완산구,13,35.78947492,127.1295343
243,전주시 완산구,19,37.47600843,126.8573668
244,전주시 완산구,19,37.7660558,126.768558
245,전주시 완산구,19,35.79912396,127.1249104
246,전주시 완산구,19,35.7967368,127.112096
247,전주시 완산구,19,35.80496429,127.1156678
248,전주시 완산구,13,37.7660558,126.768558
249,전주시 완산구,19,35.7967368,127.112096
250,전주시 완산구,19,37.47087797,126.931769
251,전주시 완산구,13,35.79744025,127.1290677
252,전주시 완산구,12,35.83143239,127.0992794
253,전주시 완산구,19,37.74760124,128.8916605
254,전주시 완산구,20,37.70797149,127.0478891
255,전주시 완산구,19,35.81083645,127.1143659
256,전주시 완산구,19,35.78510901,127.1391306
257,전주시 완산구,19,35.78510901,127.1391306
258,전주시 완산구,19,37.47087797,126.931769
259,전주시 완산구,20,35.80602744,127.105969
260,전주시 완산구,14,35.79527015,127.1272377
261,전주시 완산구,20,36.65797288,127.483571
262,전주시 완산구,13,35.83265626,127.1118344
263,전주시 완산구,16,35.83265626,127.1118344
264,전주시 완산구,20,37.49524924,129.1262832
265,전주시 완산구,19,35.83527881,127.1169762
266,전주시 완산구,20,35.83349772,127.0977246
267,전주시 완산구,19,37.35656849,126.9449544
268,전주시 완산구,20,37.36065514,126.9460249
269,전주시 완산구,20,35.79719949,127.1187778
270,전주시 완산구,20,35.80604358,127.0974304
271,전주시 완산구,13,35.79622852,127.1279569
272,전주시 완산구,18,35.80472069,127.151084
273,전주시 완산구,20,35.79628037,127.1306079
274,전주시 완산구,19,35.81043018,127.0993336
275,전주시 완산구,20,35.81024102,127.1017938
276,전주시 완산구,20,36.60935963,127.4184411
277,전주시 완산구,20,35.81632844,127.0968513
278,전주시 완산구,20,35.81656727,127.0968513
279,전주시 완산구,19,35.80877563,127.1222364
280,전주시 완산구,19,35.80877022,127.1212615
281,전주시 완산구,20,35.82701916,127.1388072
282,전주시 완산구,19,35.81273369,127.1096328
283,전주시 완산구,19,35.80177473,127.1508681
284,전주시 완산구,20,35.83269294,127.098777
285,전주시 완산구,20,35.80452565,127.0979075
286,전주시 완산구,20,35.81849684,127.0993172
287,전주시 완산구,20,35.80523276,127.1030025
288,전주시 완산구,20,35.78244163,127.1281826
289,전주시 완산구,19,36.81199938,127.1363877
290,전주시 완산구,20,35.80604358,127.0974304
291,전주시 완산구,20,35.81839581,127.0989896
292,전주시 완산구,20,36.60935963,127.4184411
293,전주시 완산구,19,35.80246017,127.1298411
294,전주시 완산구,20,35.80246017,127.1298411
295,전주시 완산구,20,35.81807066,127.0991793
296,전주시 완산구,49,35.81378907,127.1354474
297,전주시 완산구,80,35.81944731,127.1063738
298,전주시 완산구,80,35.82426419,127.1050362
299,전주시 완산구,85,35.81616417,127.0888841
300,전주시 덕진구,87,35.84982681,127.1546178
301,전주시 덕진구,131,35.85549061,127.1043039
302,전주시 덕진구,25,35.86515489,127.1353493
303,전주시 덕진구,99,35.87103707,127.0807711
304,전주시 덕진구,124,35.84169741,127.1567544
305,전주시 덕진구,58,35.87113893,127.0811367
306,전주시 덕진구,86,35.83988798,127.1387812
307,전주시 덕진구,48,35.86820272,127.1229622
308,전주시 덕진구,48,35.82747025,127.1625929
309,전주시 덕진구,99,35.86841198,127.0746562
310,전주시 덕진구,98,35.85980433,127.1258113
311,전주시 덕진구,73,35.87410781,127.1115162
312,전주시 덕진구,48,35.83488369,127.1432081
313,전주시 덕진구,77,35.83271067,127.1653216
314,전주시 덕진구,126,35.83238116,127.1718202
315,전주시 덕진구,265,35.86889171,127.1129835
316,전주시 덕진구,48,35.87407503,127.1127446
317,전주시 덕진구,99,35.87127137,127.1543042
318,전주시 덕진구,99,35.85355094,127.1906485
319,전주시 덕진구,49,35.83453646,127.1305242
320,전주시 덕진구,67,35.85596874,127.1209215
321,전주시 덕진구,96,35.84639679,127.1156842
322,전주시 덕진구,99,35.8411407,127.1315899
323,전주시 덕진구,79,35.82730713,127.1328834
324,전주시 덕진구,79,37.50627919,126.9503652
325,전주시 덕진구,79,35.85139346,127.1009799
326,전주시 덕진구,72,35.86163072,127.1208931
327,전주시 덕진구,48,35.83805553,127.062305
328,전주시 덕진구,66,35.82739041,127.1636449
329,전주시 덕진구,45,35.82227522,127.1679561
