학교명,주소,위도,경도
전주삼천초등학교,전라북도 전주시 완산구 성지산로 38,35.80084303,127.1236915
전주서신초등학교,전라북도 전주시 완산구 전룡로 119,35.8296453,127.1248121
전주우림초등학교,전라북도 전주시 완산구 소태정로 21,35.80662618,127.0982863
익산가온초등학교,전라북도 익산시 선화로1길 106,35.95632485,126.9382581
군산중앙초등학교,전라북도 군산시 중앙로 91,35.98147183,126.7162723
금지초등학교,전라북도 남원시 금지면 택내길 36-37,35.33345585,127.2934695
전주문학초등학교,전라북도 전주시 완산구 문학로 30,35.82825061,127.1026766
치문초등학교,전라북도 김제시 백구면 유강11길 43,35.90638956,126.9362332
전주오송초등학교,전라북도 전주시 덕진구 천마산로 87,35.86597905,127.1304116
전주인후초등학교,전라북도 전주시 덕진구 무삼지로 67,35.8318225,127.1623981
고수초등학교,전라북도 고창군 고수면 고수로 93,35.40447498,126.6859986
덕치초등학교,전라북도 임실군 덕치면 인덕로 1217,35.49562323,127.1481295
동호초등학교,전라북도 고창군 해리면 신동호길 18,35.5075638,126.4941685
전주동초등학교,전라북도 전주시 완산구 물왕멀로 72,35.82952144,127.1524688
용산초등학교,전라북도 익산시 황등면 용산로 193,36.04017955,126.938305
전주반월초등학교,전라북도 전주시 덕진구 혁신로 707,35.8753551,127.0737414
부귀초등학교,전라북도 진안군 부귀면 부귀로 313-9,35.83740299,127.3608077
성내초등학교,전라북도 고창군 성내면 시기2길 2,35.53805506,126.7447764
해리초등학교,전라북도 고창군 해리면 해리중앙로 152,35.4659049,126.5359774
미룡초등학교,전라북도 군산시 대학로 498-10,35.95086947,126.6851152
안성초등학교,전라북도 무주군 안성면 칠연로 58,35.86576627,127.6553047
흥왕초등학교,전라북도 익산시 용동면 흥왕1길 17,36.10502448,126.9965489
죽산초등학교,전라북도 김제시 죽산면 죽산2길 13,35.77239966,126.8176645
금구초등학교,전라북도 김제시 금구면 금구로 40,35.7744982,127.0125018
천서초등학교,전라북도 익산시 춘포면 천서길 221,35.946184,127.0366529
전주용와초등학교,전라북도 전주시 완산구 장승배기로 14,35.79121932,127.1147101
낭산초등학교,전라북도 익산시 낭산면 우신길 142,36.0666994,127.0149858
대아초등학교,전라북도 고창군 아산면 녹두로 776,35.43949724,126.6335135
선유도초등학교,전라북도 군산시 옥도면 선유북길 89-1,35.81187125,126.4124056
전주효자초등학교,전라북도 전주시 완산구 송정로 47,35.80324965,127.1227522
장수초등학교,전라북도 장수군 장수읍 향교길 11-8,35.64829382,127.5226281
동진초등학교,전라북도 부안군 동진면 동진로 145,35.75233638,126.7430445
전주인봉초등학교,전라북도 전주시 덕진구 무삼지로 7,35.82691771,127.1650204
사매초등학교,전라북도 남원시 사매면 오신2길 7,35.49953263,127.3604016
오수초등학교,전라북도 임실군 오수면 충효로 2059,35.54270606,127.3273432
매산초등학교,전라북도 고창군 대산면 매산초등길 22,35.34022886,126.5945381
전주신동초등학교,전라북도 전주시 덕진구 솔내로 211,35.86895422,127.1266587
고창남초등학교,전라북도 고창군 고창읍 중거리당산로 111,35.42919412,126.6975415
용동초등학교,전라북도 김제시 용지면 용덕길 36,35.85457978,127.003365
화산초등학교,전라북도 완주군 화산면 화산로 830,36.03522699,127.2040183
개정초등학교,전라북도 군산시 개정면 동정1길 5,35.96317048,126.7690744
금산초등학교,전라북도 김제시 금산면 모악로 383,35.72072233,127.0321781
군산용문초등학교,전라북도 군산시 미룡로 32-8,35.94228639,126.6886769
용남초등학교,전라북도 익산시 용안면 입산길 13,36.09555238,126.9626158
이리초등학교,전라북도 익산시 중앙로15길 20,35.93866494,126.959414
정우초등학교,전라북도 정읍시 정우면 금남길 28-24,35.65195192,126.8798099
성당초등학교,전라북도 익산시 성당면 성당로 354-16,36.1000014,126.9262099
서신초등학교,전라북도 정읍시 소성상평로 401-5,35.56334996,126.8217716
대야초등학교광산분교장,전라북도 군산시 대야면 번영로 1421,35.9356832,126.8667289
신덕초등학교,전라북도 임실군 신덕면 수지로 56,35.68298725,127.1758371
남양초등학교,전라북도 김제시 황산면 남산로 366,35.78316833,126.974558
전주덕진초등학교,전라북도 전주시 덕진구 들사평로 61,35.84126267,127.1242898
장계초등학교,전라북도 장수군 장계면 한들로 69,35.73154157,127.5820143
옥봉초등학교,전라북도 군산시 옥서면 옥봉초교길 29,35.92704123,126.641888
전주남초등학교,전라북도 전주시 완산구 장승배기로 376,35.80318261,127.1510675
청명초등학교,전라북도 완주군 구이면 구이로 1712,35.7516826,127.1250329
전주덕일초등학교,전라북도 전주시 덕진구 하가로 71,35.84855719,127.1117899
부안초등학교,전라북도 부안군 부안읍 부풍로 29,35.72802981,126.7340266
전주기린초등학교,전라북도 전주시 덕진구 견훤로 260,35.83508761,127.1591784
임실초등학교,전라북도 임실군 임실읍 봉황로 64-12,35.60726306,127.2707555
구이초등학교,전라북도 완주군 구이면 구이로 1357,35.7209104,127.1186562
대덕초등학교,전라북도 완주군 구이면 구이로 641,35.66076431,127.1106128
전주금평초등학교,전라북도 전주시 덕진구 명주3길 16,35.8433282,127.1467912
