,학교명,주소,위도,경도
172,,전라북도 전주시 덕진구 덕진동2가 가련산로 24,35.84094399,127.1117026
173,,전라북도 전주시 덕진구 실리1길 26-8,35.8723671,127.0688154
174,,전라북도 전주시 덕진구 인후동1가 무삼지로 10,35.82733654,127.1675484
175,,전라북도 전주시 덕진구 가리내로 216,35.83895266,127.1133424
176,,전라북도 전주시 덕진구 가리내6길 16-12,35.84567341,127.110156
177,,전라북도 전주시 덕진구 덕진동2가 가리내6길 20-6,35.84520125,127.1096612
178,,전라북도 전주시 덕진구 덕진동2가 추탄로 61,35.84629754,127.1083656
179,,전라북도 전주시 덕진구 덕진동2가 상가마을길 8-14,35.83893136,127.1147066
180,,전라북도 전주시 덕진구 덕진동2가 가리내6길 10-5,35.84537965,127.1103948
181,,전라북도 전주시 덕진구 송천동1가 솔내7길 40-5,35.85904091,127.1258648
182,,전라북도 전주시 덕진구 송천동1가 솔내2길 73,35.85796359,127.1243543
183,,전라북도 전주시 덕진구 송천동1가 송천3길 55,35.85928834,127.1167199
184,,전라북도 전주시 덕진구 송천동2가 천마산로 113,35.86566143,127.1333832
185,,전라북도 전주시 덕진구 틀못4길 17,35.84396945,127.0573225
186,,전라북도 전주시 덕진구 출판로 87,35.83987476,127.0624036
187,,전라북도 전주시 덕진구 덕진동2가 경동로 20,35.84282614,127.1068885
188,,전라북도 전주시 덕진구 쪽구름5길 43-7,35.87540248,127.0808751
189,,전라북도 전주시 덕진구 출판로 69,35.83993311,127.0610976
190,,전라북도 전주시 덕진구 틀못1길 15,35.83993216,127.0564009
191,,전라북도 전주시 덕진구 덕진동2가 경동로 19,35.84431959,127.1079238
192,,전라북도 전주시 덕진구 인후동2가 백동2길 11,35.84567354,127.1475257
193,,전라북도 전주시 덕진구 틀못4길 33,35.84571307,127.0589108
194,,전라북도 전주시 덕진구 송천동1가 오송1길 37-17,35.86374099,127.1299748
195,,전라북도 전주시 덕진구 덕진동2가 하가로 10,35.84344779,127.1120702
196,,전라북도 전주시 덕진구 틀못3길 16,35.84178105,127.0555384
197,,전라북도 전주시 덕진구 만성동로 16,35.83851127,127.0746896
198,,전라북도 전주시 덕진구 송천동2가 세병로 111,35.87454355,127.1352299
199,,전라북도 전주시 덕진구 송천동2가 세병로 85,35.87207631,127.1322083
200,,전라북도 전주시 덕진구 송천동2가 세병로 41,35.87440204,127.1298461
201,,전라북도 전주시 덕진구 만성로 181,35.84818484,127.0797107
202,,전라북도 전주시 덕진구 송천동2가 세병로 175,35.87801123,127.1331095
203,,전라북도 전주시 덕진구 붓내3길 29,35.86931383,127.1244985
204,,전라북도 전주시 덕진구 송천동1가 두간6길 10,35.86619968,127.1194816
205,,전라북도 전주시 덕진구 견훤로 333,35.83994842,127.1548923
206,,전라북도 전주시 덕진구 무삼지로 40,35.82850789,127.1652203
207,,전라북도 전주시 덕진구 호성동1가 호성로 40,35.85560749,127.1522597
208,,전라북도 전주시 덕진구 호성동1가 호성1길 29,35.85528311,127.1533395
209,,전라북도 전주시 덕진구 붓내3길 29,35.86931383,127.1244985
210,,전라북도 전주시 덕진구 쪽구름로 123,35.87255633,127.0708942
211,,전라북도 전주시 덕진구 편운로 54-68,35.87188208,127.0817094
212,,전라북도 전주시 덕진구 붓내3길 29,35.86931383,127.1244985
213,,전라북도 전주시 덕진구 붓내3길 29,35.86931383,127.1244985
214,,전라북도 전주시 덕진구 우아동3가 동부대로 575,35.84058954,127.1673486
215,,전라북도 전주시 덕진구 기린대로 1018-7,35.86841198,127.0746562
216,,전라북도 전주시 덕진구 백동5길 28,35.84854514,127.1501317
217,,전라북도 전주시 덕진구 쪽구름로 19,35.86790491,127.0771191
218,,전라북도 전주시 덕진구 호성로 132,35.86221293,127.1496314
219,,전라북도 전주시 덕진구 반월5길 8,35.87272437,127.0684823
220,,전라북도 전주시 덕진구 호성동1가 동부대로 787,35.85735698,127.154401
221,,전라북도 전주시 덕진구 두간6길 7,35.86591628,127.1177993
222,,전라북도 전주시 덕진구 붓내3길 29,35.86931383,127.1244985
223,,전라북도 전주시 덕진구 천마산로 33,35.86500788,127.1266799
224,,전라북도 전주시 덕진구 무삼지로 32,35.82858746,127.164768
225,,전라북도 전주시 덕진구 석소로 29,35.83004846,127.1684262
226,,전라북도 전주시 덕진구 무삼지로 32,35.82858746,127.164768
227,,전라북도 전주시 덕진구 호성2길 16,35.85942009,127.1521699
228,,전라북도 전주시 덕진구 송천동2가 천마산로 115,35.86515489,127.1353493
229,,전라북도 전주시 덕진구 송천동2가 사근1길 11,35.8682208,127.1283436
230,,전라북도 전주시 덕진구 천마산로 100,35.86477149,127.1317063
232,,전라북도 전주시 덕진구 호성로 132,35.86221293,127.1496314
233,,전라북도 전주시 덕진구 솔내로 142,35.86251929,127.1288431
234,,전라북도 전주시 덕진구 동부대로 611,35.84412192,127.1645497
235,,전라북도 전주시 덕진구 한배미로 33,35.82450963,127.1687272
236,,전라북도 전주시 덕진구 솔내로 142,35.86251929,127.1288431
237,,전라북도 전주시 덕진구 솔내9길 5,35.86228776,127.1261232
238,,전라북도 전주시 덕진구 무삼지로 40,35.82850789,127.1652203
239,,전라북도 전주시 덕진구 송천동2가 사근1길 11,35.8682208,127.1283436
240,,전라북도 전주시 덕진구 두간6길 8,35.86593317,127.1181287
241,,전라북도 전주시 덕진구 호성로 40,35.85560749,127.1522597
242,,전라북도 전주시 덕진구 벚꽃로 57,35.82971516,127.1357465
243,,전라북도 전주시 덕진구 가리내로 550,35.86082455,127.1133982
244,,전라북도 전주시 덕진구 와룡로 42,35.86350527,127.1122206
245,,전라북도 전주시 덕진구 송천동2가 와룡2길 7,35.86627501,127.1137455
246,,전라북도 전주시 덕진구 석소로 77,35.83363228,127.1651422
247,,전라북도 전주시 덕진구 안덕원로 251,35.83772385,127.1537674
248,,전라북도 전주시 덕진구 붓내3길 29,35.86931383,127.1244985
249,,전라북도 전주시 덕진구 호성로 136,35.86434943,127.1475255
250,,전라북도 전주시 덕진구 쪽구름로 19,35.86790491,127.0771191
251,,전라북도 전주시 덕진구 소리로 191,35.85887962,127.1530135
