학교명,주소,위도,경도
함열고등학교,전라북도 익산시 함열읍 와리3길 19-3,36.08260778,126.9589768
전북유니텍고등학교,전라북도 장수군 장계면 장계7길 3,35.73290982,127.5819498
정읍제일고등학교,전라북도 정읍시 충정로 252,35.57013279,126.8541772
유일여자고등학교,전라북도 전주시 덕진구 안덕원로 301,35.83901369,127.1599927
전북하이텍고등학교,전라북도 완주군 삼례읍 삼례역로 41-1,35.90774937,127.0694379
남원서진여자고등학교,전라북도 남원시 낙현길 17-14,35.42573431,127.4065766
인월고등학교,전라북도 남원시 인월면 인월장터로 48,35.46495634,127.6027247
원광고등학교,전라북도 익산시 무왕로31길 139,35.97322975,127.0022827
덕암정보고등학교,전라북도 김제시 하공로 9,35.81309241,126.8870829
부안여자고등학교,전라북도 부안군 부안읍 교동1길 54,35.71495545,126.7359295
원광정보예술고등학교,전라북도 익산시 선화로13길 72,35.95432998,126.9434322
군산상업고등학교,전라북도 군산시 석치1길 17,35.97468767,126.7000666
전주예술고등학교,전라북도 완주군 구이면 신전길 120,35.72023332,127.1087873
완산여자고등학교,전라북도 전주시 완산구 덕적골1길 60,35.79203367,127.1383432
군산중앙여자고등학교,전라북도 군산시 축동2길 27,35.96817267,126.7114926
군산기계공업고등학교,전라북도 군산시 군중길 28,35.97728004,126.7003422
김제여자고등학교,전라북도 김제시 중앙로 193,35.80038584,126.8958241
전주중앙여자고등학교,전라북도 전주시 덕진구 석소로 25,35.82828292,127.1678274
진안공업고등학교,전라북도 진안군 진안읍 상역로 96,35.80056579,127.4167038
만경여자고등학교,전라북도 김제시 만경읍 만경로 823,35.85368915,126.8147776
군산고등학교,전라북도 군산시 팔마로 177,35.97394441,126.7195894
무주고등학교,전라북도 무주군 무주읍 한수로 32,36.01371751,127.6633474
여산고등학교,전라북도 익산시 여산면 가람로 465,36.06692491,127.0828426
전주신흥고등학교,전라북도 전주시 완산구 서원로 399,35.81541013,127.1362767
군산동고등학교,전라북도 군산시 달여길 50,35.97056499,126.767976
부안고등학교,전라북도 부안군 부안읍 문정로 32,35.71604257,126.7289178
전주생명과학고등학교,전라북도 전주시 덕진구 안덕원로 195,35.83672624,127.1490519
전주영생고등학교,전라북도 전주시 완산구 천잠로 333,35.81609983,127.0919874
안성고등학교,전라북도 무주군 안성면 구량천로 147,35.87032408,127.6537838
강호항공고등학교,전라북도 고창군 고창읍 중거리당산로 78-22,35.42510185,126.6999786
한국게임과학고등학교,전라북도 완주군 운주면 대둔산로 1336,36.08278434,127.2854062
장수고등학교,전라북도 장수군 장수읍 장천로 254-16,35.65594323,127.5223725
줄포자동차공업고등학교,전라북도 부안군 줄포면 우포로 10,35.58512049,126.6769191
완산고등학교,전라북도 전주시 완산구 능안자구길 55,35.80240918,127.083885
이리남성여자고등학교,전라북도 익산시 동서로35길 41,35.95635944,126.9659967
한별고등학교,전라북도 완주군 삼례읍 충혼안길 20,35.90780171,127.0723723
김제고등학교,전라북도 김제시 남북2길 25,35.79107768,126.8970893
성일고등학교,전라북도 익산시 황등면 화강암로 229,36.00845511,126.9466218
호남제일고등학교,전라북도 전주시 완산구 서원로 53,35.81390641,127.0992322
김제서고등학교,전라북도 김제시 죽산면 해학로 17,35.77104473,126.8148592
전주상업정보고등학교,전라북도 전주시 완산구 따박골2길 21,35.81067636,127.124988
전북제일고등학교,전라북도 익산시 학곤로 19,35.93424298,126.9418576
순창고등학교,전라북도 순창군 순창읍 옥천로 67-14,35.37990162,127.1405508
고창북고등학교,전라북도 고창군 흥덕면 선운대로 3714-32,35.51504641,126.6979364
호남고등학교,전라북도 정읍시 정읍남로 1364-13,35.55709637,126.8511513
익산고등학교,전라북도 익산시 금마면 고도길 85,35.99491837,127.0554797
학산고등학교,전라북도 정읍시 학산로 89,35.56034415,126.8753952
한국치즈과학고등학교,전라북도 임실군 강진면 갈담3길 48,35.53327378,127.1647542
전주근영여자고등학교,전라북도 전주시 완산구 영경1길 11,35.82030227,127.1246416
남성고등학교,전라북도 익산시 동서로35길 41,35.95635944,126.9659967
군산영광여자고등학교,전라북도 군산시 둔배미길 21,35.98267659,126.7148654
서영여자고등학교,전라북도 정읍시 명덕1길 66-10,35.57916708,126.8520797
양현고등학교,전라북도 전주시 덕진구 틀못2길 9,35.84218419,127.0587816
